challenge_passage_id,challenge_group,text
C001,Q02,"Do these fundamental principles require, particularly, that no tax should be levied without the intermediate agency of the States? The Confederation itself authorizes a direct tax, to a certain extent, on the post office. The power of coinage has been so construed by Congress as to levy a tribute immediately from that source also. But pretermitting these instances, was it not an acknowledged object of the convention and the universal expectation of the people, that the regulation of trade should be submitted to the general government in such a form as would render it an immediate source of general revenue? Had not Congress repeatedly recommended this measure as not inconsistent with the fundamental principles of the Confederation? Had not every State but one; had not New York herself, so far complied with the plan of Congress as to recognize the principle of the innovation? Do these principles, in fine, require that the powers of the general government should be limited, and that, beyond this limit, the States should be left in possession of their sovereignty and independence?"
C002,Q05,"In reviewing the defects of the existing Confederation, and showing that they cannot be supplied by a government of less energy than that before the public, several of the most important principles of the latter fell of course under consideration. But as the ultimate object of these papers is to determine clearly and fully the merits of this Constitution, and the expediency of adopting it, our plan cannot be complete without taking a more critical and thorough survey of the work of the convention, without examining it on all its sides, comparing it in all its parts, and calculating its probable effects. That this remaining task may be executed under impressions conducive to a just and fair result, some reflections must in this place be indulged, which candor previously suggests. It is a misfortune, inseparable from human affairs, that public measures are rarely investigated with that spirit of moderation which is essential to a just estimate of their real tendency to advance or obstruct the public good; and that this spirit is more apt to be diminished than promoted, by those occasions which require an unusual exercise of it."
C003,Q05,"An irregular and mutable legislation is not more an evil in itself than it is odious to the people; and it may be pronounced with assurance that the people of this country, enlightened as they are with regard to the nature, and interested, as the great body of them are, in the effects of good government, will never be satisfied till some remedy be applied to the vicissitudes and uncertainties which characterize the State administrations. On comparing, however, these valuable ingredients with the vital principles of liberty, we must perceive at once the difficulty of mingling them together in their due proportions. The genius of republican liberty seems to demand on one side, not only that all power should be derived from the people, but that those intrusted with it should be kept in independence on the people, by a short duration of their appointments; and that even during this short period the trust should be placed not in a few, but a number of hands."
C004,Q04,"A stranger to our politics, who was to read our newspapers at the present juncture, without having previously inspected the plan reported by the convention, would be naturally led to one of two conclusions: either that it contained a positive injunction, that standing armies should be kept up in time of peace; or that it vested in the executive the whole power of levying troops, without subjecting his discretion, in any shape, to the control of the legislature. If he came afterwards to peruse the plan itself, he would be surprised to discover, that neither the one nor the other was the case; that the whole power of raising armies was lodged in the legislature, not in the executive; that this legislature was to be a popular body, consisting of the representatives of the people periodically elected; and that instead of the provision he had supposed in favor of standing armies, there was to be found, in respect to this object, an important qualification even of the legislative discretion, in that clause which forbids the appropriation of money for the support of an army for any longer period than two years."
C005,Q04,"To the powers proposed to be conferred upon the federal government, in respect to the creation and direction of the national forces, I have met with but one specific objection, which, if I understand it right, is this, that proper provision has not been made against the existence of standing armies in time of peace; an objection which, I shall now endeavor to show, rests on weak and unsubstantial foundations. It has indeed been brought forward in the most vague and general form, supported only by bold assertions, without the appearance of argument; without even the sanction of theoretical opinions; in contradiction to the practice of other free nations, and to the general sense of America, as expressed in most of the existing constitutions. The propriety of this remark will appear, the moment it is recollected that the objection under consideration turns upon a supposed necessity of restraining the legislative authority of the nation, in the article of military establishments; a principle unheard of, except in one or two of our State constitutions, and rejected in all the rest."
C006,Q01,"But there appear to be insuperable objections against the proposed recurrence to the people, as a provision in all cases for keeping the several departments of power within their constitutional limits. In the first place, the provision does not reach the case of a combination of two of the departments against the third. If the legislative authority, which possesses so many means of operating on the motives of the other departments, should be able to gain to its interest either of the others, or even one third of its members, the remaining department could derive no advantage from its remedial provision. I do not dwell, however, on this objection, because it may be thought to be rather against the modification of the principle, than against the principle itself. In the next place, it may be considered as an objection inherent in the principle, that as every appeal to the people would carry an implication of some defect in the government, frequent appeals would, in a great measure, deprive the government of that veneration which time bestows on every thing, and without which perhaps the wisest and freest governments would not possess the requisite stability."
C007,Q05,"The intentions of the first may be upright, as they may on the contrary be culpable. The views of the last cannot be upright, and must be culpable. But the truth is, that these papers are not addressed to persons falling under either of these characters. They solicit the attention of those only, who add to a sincere zeal for the happiness of their country, a temper favorable to a just estimate of the means of promoting it. Persons of this character will proceed to an examination of the plan submitted by the convention, not only without a disposition to find or to magnify faults; but will see the propriety of reflecting, that a faultless plan was not to be expected. Nor will they barely make allowances for the errors which may be chargeable on the fallibility to which the convention, as a body of men, were liable; but will keep in mind, that they themselves also are but men, and ought not to assume an infallibility in rejudging the fallible opinions of others."
C008,Q03,"The power of raising armies, by the most obvious construction of the articles of the Confederation, is merely a power of making requisitions upon the States for quotas of men. This practice in the course of the late war, was found replete with obstructions to a vigorous and to an economical system of defense. It gave birth to a competition between the States which created a kind of auction for men. In order to furnish the quotas required of them, they outbid each other till bounties grew to an enormous and insupportable size. The hope of a still further increase afforded an inducement to those who were disposed to serve to procrastinate their enlistment, and disinclined them from engaging for any considerable periods. Hence, slow and scanty levies of men, in the most critical emergencies of our affairs; short enlistments at an unparalleled expense; continual fluctuations in the troops, ruinous to their discipline and subjecting the public safety frequently to the perilous crisis of a disbanded army."
C009,Q02,"Had the convention, under all these impressions, and in the midst of all these considerations, instead of exercising a manly confidence in their country, by whose confidence they had been so peculiarly distinguished, and of pointing out a system capable, in their judgment, of securing its happiness, taken the cold and sullen resolution of disappointing its ardent hopes, of sacrificing substance to forms, of committing the dearest interests of their country to the uncertainties of delay and the hazard of events, let me ask the man who can raise his mind to one elevated conception, who can awaken in his bosom one patriotic emotion, what judgment ought to have been pronounced by the impartial world, by the friends of mankind, by every virtuous citizen, on the conduct and character of this assembly? Or if there be a man whose propensity to condemn is susceptible of no control, let me then ask what sentence he has in reserve for the twelve States who usurped the power of sending deputies to the convention, a body utterly unknown to their constitutions; for Congress, who recommended the appointment of this body, equally unknown to the Confederation?"
C010,Q01,"The author of the ""Notes on the State of Virginia,"" quoted in the last paper, has subjoined to that valuable work the draught of a constitution, which had been prepared in order to be laid before a convention, expected to be called in 1783, by the legislature, for the establishment of a constitution for that commonwealth. The plan, like every thing from the same pen, marks a turn of thinking, original, comprehensive, and accurate; and is the more worthy of attention as it equally displays a fervent attachment to republican government and an enlightened view of the dangerous propensities against which it ought to be guarded. One of the precautions which he proposes, and on which he appears ultimately to rely as a palladium to the weaker departments of power against the invasions of the stronger, is perhaps altogether his own, and as it immediately relates to the subject of our present inquiry, ought not to be overlooked. His proposition is, ""that whenever any two of the three branches of government shall concur in opinion, each by the voices of two thirds of their whole number, that a convention is necessary for altering the constitution, or correcting breaches of it, a convention shall be called for the purpose."
